get_deployed_facilities	get_total_distance	get_total_distance_after_interdiction	get_interdicted_facilities
0	2147483647	0	0
1	5773.96158904	0	0
22	918.944114183	0	0
24	845.944305719	0	0
27	699.307066199	0	0
28	650.927607306	0	0
29	612.459389523	0	0
31	532.189061892	0	0
34	462.772637684	0	0
35	414.661038468	0	0
54	8.94427191	0	0
55	0.0	0	0
20	1078.66690664	0	0
21	1014.60100161	0	0
25	778.246210075	0	0
26	708.885050804	0	0
30	586.932025117	0	0
32	496.268348885	0	0
37	358.596642146	0	0
14	1832.65340335	0	0
15	1576.50843662	0	0
16	1412.3770415	0	0
17	1341.02951858	0	0
18	1284.71395312	0	0
19	1177.18607989	0	0
23	867.307417456	0	0
