get_deployed_facilities	get_total_distance	get_total_distance_after_interdiction	get_interdicted_facilities
0	2147483647	2147483647	0
1	5773.96158904	5773.96158904	0
1	5773.96158904	2147483647	1
2	5155.80529771	5155.80529771	0
2	5155.80529771	11293.2713245	1
2	5155.80529771	2147483647	2
3	4309.52682661	4309.52682661	0
3	4309.52682661	7134.18558958	1
3	4309.52682661	15448.5871694	2
3	4309.52682661	2147483647	3
4	3831.45610519	3831.45610519	0
4	3831.45610519	5408.53107032	1
4	3831.45610519	10124.9753138	2
4	3831.45610519	15479.022832	3
4	3831.45610519	2147483647	4
5	3612.10006782	3612.10006782	0
5	3612.10006782	4866.4785599	1
5	3612.10006782	6592.73691977	2
5	3612.10006782	8926.8925487	3
5	3612.10006782	12099.3968656	4
5	3612.10006782	2147483647	5
6	3097.99796943	3097.99796943	0
6	3097.99796943	3854.45168058	1
6	3097.99796943	5201.36936898	2
6	3097.99796943	9106.73434241	3
6	3097.99796943	13051.0347589	4
6	3097.99796943	13271.417992	5
6	3097.99796943	2147483647	6
7	2966.14819576	2966.14819576	0
7	2966.14819576	3700.47209768	1
7	2966.14819576	4306.85236653	2
7	2966.14819576	5450.86929913	3
7	2966.14819576	8511.82583095	4
7	2966.14819576	10324.2746555	5
8	2879.21771892	2879.21771892	0
8	2879.21771892	3443.74168658	1
8	2879.21771892	4488.43196942	2
8	2879.21771892	5998.57548585	3
8	2879.21771892	8675.50188583	4
8	2879.21771892	11722.2434667	5
8	2879.21771892	12149.1811194	6
8	2879.21771892	13271.417992	7
9	2721.38216459	3331.25621505	1
9	2721.38216459	3520.37627373	2
9	2721.38216459	5429.30350968	3
9	2721.38216459	7255.90653954	4
9	2721.38216459	8414.64152879	5
9	2721.38216459	10695.5109013	6
9	2721.38216459	12791.2970292	7
9	2721.38216459	13163.0347004	8
11	2620.41308014	2721.38210571	1
11	2620.41308014	2876.43125494	2
11	2620.41308014	3804.76176998	3
11	2620.41308014	4625.76014711	4
11	2620.41308014	4876.98703267	5
11	2620.41308014	5779.90119409	6
11	2620.41308014	8311.5165387	7
42	722.847935067	1484.9750733	14
42	722.847935067	2019.8006059	15
42	722.847935067	2488.71245885	17
42	722.847935067	2867.97917533	18
42	722.847935067	3148.24349165	21
42	722.847935067	3527.03893946	26
43	474.473805183	1077.96682807	14
43	474.473805183	1388.53633848	15
43	474.473805183	1553.59737109	16
43	474.473805183	1703.08327047	17
43	474.473805183	1926.18535673	19
43	474.473805183	1977.09473449	21
43	474.473805183	2057.67163844	22
43	474.473805183	2307.95244867	23
43	474.473805183	2614.5883951	25
43	474.473805183	2758.80576039	28
45	210.934493352	977.828622712	15
45	210.934493352	1452.33820167	16
45	210.934493352	1619.09436997	18
45	210.934493352	1711.74489642	19
45	210.934493352	1880.97376081	20
45	210.934493352	2066.66353507	22
45	210.934493352	2075.04332285	23
45	210.934493352	2251.92988741	25
45	210.934493352	2269.65556538	26
45	210.934493352	2572.78766681	29
45	210.934493352	2775.94812079	30
46	165.602282945	1378.40020022	17
46	165.602282945	1496.5460471	18
46	165.602282945	1738.31274951	20
46	165.602282945	1838.3884158	21
46	165.602282945	1985.75142599	22
46	165.602282945	3502.65247272	23
48	130.566415341	1293.30165656	16
48	130.566415341	1320.29755227	20
48	130.566415341	1593.35364373	21
48	130.566415341	1685.94061339	23
48	130.566415341	1731.63000234	24
48	130.566415341	1785.75221325	25
48	130.566415341	2049.07385112	26
48	130.566415341	2197.54163397	28
48	130.566415341	2708.46051205	30
48	130.566415341	2846.21508767	33
49	121.352448201	1047.67740432	16
49	121.352448201	1131.25285974	18
49	121.352448201	1162.53846353	19
49	121.352448201	1450.69300114	20
49	121.352448201	1542.69844681	22
49	121.352448201	1801.23518194	23
49	121.352448201	1833.89402586	24
49	121.352448201	2011.42040386	25
49	121.352448201	2033.66000183	26
49	121.352448201	2114.60574227	27
49	121.352448201	2534.00066099	28
50	108.482285286	1082.7598912	17
50	108.482285286	1266.58122472	20
50	108.482285286	1423.52888222	21
50	108.482285286	1645.88722813	22
50	108.482285286	1662.54490941	23
50	108.482285286	1834.36043978	24
50	108.482285286	2066.99758624	25
50	108.482285286	2126.07915352	27
50	108.482285286	2272.54848824	29
50	108.482285286	2364.0286725	30
50	108.482285286	2662.16235349	32
51	66.3809663225	849.439835225	17
51	66.3809663225	1190.97450913	18
51	66.3809663225	1334.08964788	20
51	66.3809663225	1437.05709505	21
51	66.3809663225	1490.44180994	22
51	66.3809663225	1523.55999756	23
51	66.3809663225	1617.97297251	24
51	66.3809663225	1757.24645727	25
51	66.3809663225	1850.4404252	27
51	66.3809663225	2132.11583218	29
51	66.3809663225	2193.4092112	33
51	66.3809663225	2271.64249675	34
51	66.3809663225	2395.47465097	37
52	59.6449510225	527.461845824	16
52	59.6449510225	1177.64215171	18
52	59.6449510225	1277.99949227	19
52	59.6449510225	1416.51259518	21
52	59.6449510225	1677.94011542	23
52	59.6449510225	1781.34707843	24
52	59.6449510225	1859.70209147	25
52	59.6449510225	1959.65706253	27
52	59.6449510225	2171.95812714	28
52	59.6449510225	2189.75913161	29
52	59.6449510225	2304.50114123	34
52	59.6449510225	2424.13164469	35
52	59.6449510225	2584.75990253	36
53	32.4928556845	601.917679398	14
53	32.4928556845	1136.02205919	17
53	32.4928556845	1207.86419845	19
53	32.4928556845	1244.96130119	20
53	32.4928556845	1496.78197887	21
53	32.4928556845	1608.1727512	23
53	32.4928556845	1616.8729648	24
53	32.4928556845	1618.77210755	25
53	32.4928556845	1880.72209099	26
53	32.4928556845	1956.003897	29
53	32.4928556845	2290.62399317	30
53	32.4928556845	2334.12427007	32
53	32.4928556845	2518.2394079	36
54	8.94427191	752.014747729	17
54	8.94427191	813.335292407	19
54	8.94427191	1265.93841973	20
54	8.94427191	1364.72109621	21
54	8.94427191	1370.07403748	22
54	8.94427191	1582.34128575	23
54	8.94427191	1633.96118283	24
54	8.94427191	1749.25328386	25
54	8.94427191	1817.93017366	26
54	8.94427191	2234.42887854	29
54	8.94427191	2315.03983226	32
55	0.0	823.80802714	19
55	0.0	1134.19579598	21
55	0.0	1144.24670365	22
55	0.0	1347.89958374	23
55	0.0	1383.9182375	24
55	0.0	1481.62175245	25
55	0.0	1600.48366478	26
55	0.0	1681.54186058	28
55	0.0	2214.0104462	29
55	0.0	2703.61551157	30
