get_deployed_facilities	get_total_distance	get_total_distance_after_interdiction	get_interdicted_facilities
0	2147483647	2147483647	0
1	533624.867076	533624.867076	0
1	533624.867076	2147483647	1
43	87232.3646733	154572.520261	11
43	87232.3646733	160860.439736	12
43	87232.3646733	181931.944113	13
43	87232.3646733	194609.566262	14
43	87232.3646733	203335.274839	15
43	87232.3646733	211055.040313	16
43	87232.3646733	225349.962914	17
43	87232.3646733	234075.671492	18
43	87232.3646733	241965.765829	19
43	87232.3646733	250691.474407	20
43	87232.3646733	257477.146937	21
45	81304.1061875	141334.761343	8
45	81304.1061875	150101.294315	9
45	81304.1061875	176474.435838	10
45	81304.1061875	199540.427551	11
45	81304.1061875	210042.404728	12
45	81304.1061875	217559.097551	13
45	81304.1061875	224708.426536	14
45	81304.1061875	232506.160029	15
45	81304.1061875	240022.852852	16
45	81304.1061875	243590.646146	17
45	81304.1061875	247831.877383	18
45	81304.1061875	250764.537946	19
45	81304.1061875	253457.130419	20
45	81304.1061875	254477.743423	21
45	81304.1061875	254718.096506	23
46	70992.7730562	169742.042636	13
46	70992.7730562	179630.601634	14
46	70992.7730562	191749.9291	15
46	70992.7730562	207988.409571	16
46	70992.7730562	221254.248405	17
46	70992.7730562	237264.361719	18
46	70992.7730562	253767.992948	19
46	70992.7730562	270811.393479	20
46	70992.7730562	280699.952477	21
48	61539.7279913	134884.893242	14
48	61539.7279913	151262.794824	15
48	61539.7279913	162647.635406	16
48	61539.7279913	170106.158248	17
48	61539.7279913	177490.413277	18
48	61539.7279913	187615.124077	19
48	61539.7279913	201577.796491	20
48	61539.7279913	226462.526155	21
48	61539.7279913	243068.102168	22
48	61539.7279913	248060.018065	23
48	61539.7279913	249140.560168	24
51	61452.457724	133478.241487	13
51	61452.457724	142256.630842	14
51	61452.457724	151497.492999	15
51	61452.457724	163455.5047	16
51	61452.457724	173410.903366	17
51	61452.457724	186903.424068	18
51	61452.457724	194731.244301	19
51	61452.457724	203779.321915	20
51	61452.457724	217333.627283	21
