get_deployed_facilities	get_total_distance	get_total_distance_after_interdiction	get_interdicted_facilities
0	2147483647	0	0
1	533624.867076	0	0
12	217130.944928	0	0
14	202601.444967	0	0
16	185443.286713	0	0
22	152939.252565	0	0
131	8131.09886213	0	0
133	6845.17974716	0	0
139	5029.98371882	0	0
140	3552.88746364	0	0
149	20.8806130178	0	0
150	0.0	0	0
9	281884.521967	0	0
11	241612.957131	0	0
15	196165.317118	0	0
17	182900.108684	0	0
18	181946.475998	0	0
21	161294.418059	0	0
127	11766.663176	0	0
129	10615.0970373	0	0
136	5750.27226997	0	0
137	5661.32993404	0	0
13	212847.292861	0	0
19	173570.588553	0	0
28	143836.587349	0	0
123	20368.2512986	0	0
124	16940.9898582	0	0
135	6440.27125967	0	0
